date,rate_ngn_usd,mom_change,mom_pct,rolling_3m,rolling_6m,yoy_pct
2021-08-01,410.0,0.0,0.0,410.0,408.5,5.670103092783507
2021-09-01,412.0,2.0,0.4878048780487809,410.6666666666667,409.3333333333333,6.185567010309279
2021-10-01,414.0,2.0,0.4854368932038833,412.0,410.5,6.153846153846154
2021-11-01,415.0,1.0,0.24154589371980784,413.6666666666667,411.8333333333333,6.41025641025641
2021-12-01,415.0,0.0,0.0,414.6666666666667,412.6666666666667,5.3299492385786795
2022-01-01,415.0,0.0,0.0,415.0,413.5,5.3299492385786795
2022-02-01,415.0,0.0,0.0,415.0,414.3333333333333,5.3299492385786795
2022-03-01,416.0,1.0,0.24096385542169418,415.3333333333333,415.0,2.211302211302213
2022-04-01,416.0,0.0,0.0,415.6666666666667,415.3333333333333,2.211302211302213
2022-05-01,418.0,2.0,0.48076923076922906,416.6666666666667,415.8333333333333,2.7027027027026973
2022-06-01,420.0,2.0,0.4784688995215225,418.0,416.6666666666667,2.4390243902439046
2022-07-01,421.0,1.0,0.23809523809523725,419.6666666666667,417.6666666666667,2.682926829268295
2022-08-01,422.0,1.0,0.23752969121140222,421.0,418.8333333333333,2.9268292682926855
2022-09-01,435.0,13.0,3.08056872037914,426.0,422.0,5.582524271844669
2022-10-01,440.0,5.0,1.1494252873563315,432.3333333333333,426.0,6.2801932367149815
2022-11-01,445.0,5.0,1.1363636363636465,440.0,430.5,7.2289156626506035
2022-12-01,448.0,3.0,0.6741573033707926,444.3333333333333,435.1666666666667,7.951807228915664
2023-01-01,450.0,2.0,0.44642857142858094,447.6666666666667,440.0,8.43373493975903
2023-02-01,460.0,10.0,2.2222222222222143,452.6666666666667,446.3333333333333,10.843373493975905
2023-03-01,460.0,0.0,0.0,456.6666666666667,450.5,10.576923076923084
2023-04-01,461.0,1.0,0.21739130434783593,460.3333333333333,454.0,10.817307692307686
2023-05-01,462.0,1.0,0.2169197396963085,461.0,456.8333333333333,10.526315789473696
2023-06-01,770.0,308.0,66.66666666666667,564.3333333333334,510.5,83.33333333333333
2023-07-01,790.0,20.0,2.5974025974025983,674.0,567.1666666666666,87.64845605700712
2023-08-01,820.0,30.0,3.797468354430378,793.3333333333334,627.1666666666666,94.31279620853081
2023-09-01,860.0,40.0,4.878048780487809,823.3333333333334,693.8333333333334,97.70114942528735
2023-10-01,920.0,60.0,6.976744186046502,866.6666666666666,770.3333333333334,109.09090909090908
2023-11-01,980.0,60.0,6.521739130434789,920.0,856.6666666666666,120.2247191011236
2023-12-01,899.0,-81.0,-8.26530612244898,933.0,878.1666666666666,100.66964285714283
2024-01-01,1110.0,211.0,23.47052280311457,996.3333333333334,931.5,146.66666666666669
2024-02-01,1470.0,360.0,32.432432432432435,1159.6666666666667,1039.8333333333333,219.56521739130434
2024-03-01,1580.0,110.0,7.48299319727892,1386.6666666666667,1159.8333333333333,243.47826086956525
2024-04-01,1320.0,-260.0,-16.455696202531644,1456.6666666666667,1226.5,186.33405639913235
2024-05-01,1380.0,60.0,4.545454545454541,1426.6666666666667,1293.1666666666667,198.7012987012987
2024-06-01,1470.0,90.0,6.521739130434789,1390.0,1388.3333333333333,90.90909090909092
2024-07-01,1540.0,70.0,4.761904761904767,1463.3333333333333,1460.0,94.9367088607595
2024-08-01,1590.0,50.0,3.2467532467532534,1533.3333333333333,1480.0,93.90243902439023
2024-09-01,1620.0,30.0,1.8867924528301883,1583.3333333333333,1486.6666666666667,88.37209302325581
2024-10-01,1660.0,40.0,2.4691358024691468,1623.3333333333333,1543.3333333333333,80.43478260869566
2024-11-01,1670.0,10.0,0.6024096385542244,1650.0,1591.6666666666667,70.40816326530613
2024-12-01,1535.0,-135.0,-8.083832335329344,1621.6666666666667,1602.5,70.7452725250278
